mouse,conc,treatment,analyte,time,fold change
13,645.4282957,trt2,Corticosterone,2,2.573129604
14,834.3675053,trt2,Corticosterone,2,3.326373731
15,178.8296874,trt2,Corticosterone,2,0.712940486
26,32.90026326,trt2,Corticosterone,2,0.131163511
27,105.0314218,trt2,Corticosterone,2,0.41872887
28,917.0515178,trt2,Corticosterone,2,3.656010163
29,80.86965816,trt2,Corticosterone,2,0.322403144
30,350.7773155,trt2,Corticosterone,2,1.398444259
41,241.3598806,trt2,Corticosterone,2,0.962229667
42,229.900469,trt2,Corticosterone,2,0.91654442
43,82.24610193,trt2,Corticosterone,2,0.327890613
44,119.5033368,trt2,Corticosterone,2,0.476424067
45,229.900469,trt2,Corticosterone,2,0.91654442
11,273.8619168,trt2,Corticosterone,4,1.787280112
12,350.7773155,trt2,Corticosterone,4,2.289246081
13,99.52813519,trt2,Corticosterone,4,0.649541414
14,2016.377927,trt2,Corticosterone,4,13.15930382
15,219.2019606,trt2,Corticosterone,4,1.430557813
41,54.90025879,trt2,Corticosterone,4,0.358290564
42,59.37105419,trt2,Corticosterone,4,0.38746791
43,16.94205463,trt2,Corticosterone,4,0.11056739
44,25.2615982,trt2,Corticosterone,4,0.16486247
45,4.368143603,trt2,Corticosterone,4,0.028507418
11,52.81279875,trt2,Corticosterone,6,0.905343678
12,102.2319504,trt2,Corticosterone,6,1.752511743
13,82.94529396,trt2,Corticosterone,6,1.421890135
14,71.40578465,trt2,Corticosterone,6,1.224074036
15,16.56413922,trt2,Corticosterone,6,0.283950843
26,39.00767838,trt2,Corticosterone,6,0.66868933
27,3.711979551,trt2,Corticosterone,6,0.063632629
28,95.22270317,trt2,Corticosterone,6,1.632355686
29,77.55188675,trt2,Corticosterone,6,1.329433623
30,21.33308689,trt2,Corticosterone,6,0.365702553
41,57.08437042,trt2,Corticosterone,6,0.978569118
42,25.44749466,trt2,Corticosterone,6,0.43623381
43,66.91305124,trt2,Corticosterone,6,1.14705733
44,76.27211217,trt2,Corticosterone,6,1.307495081
45,14.89711385,trt2,Corticosterone,6,0.255373852
11,53.63654527,trt2,Corticosterone,8,0.951419701
12,62.75699415,trt2,Corticosterone,8,1.113200716
13,98.64736508,trt2,Corticosterone,8,1.749833926
14,26.9843449,trt2,Corticosterone,8,0.478655686
15,11.61601812,trt2,Corticosterone,8,0.206048104
26,102.2319504,trt2,Corticosterone,8,1.81341828
27,72.5857901,trt2,Corticosterone,8,1.287546585
28,68.00331182,trt2,Corticosterone,8,1.206261333
29,104.0873584,trt2,Corticosterone,8,1.846330014
30,35.68303404,trt2,Corticosterone,8,0.632955411
41,72.5857901,trt2,Corticosterone,8,1.287546585
42,93.56737779,trt2,Corticosterone,8,1.659723722
43,102.2319504,trt2,Corticosterone,8,1.81341828
44,111.9618506,trt2,Corticosterone,8,1.986009909
45,68.00331182,trt2,Corticosterone,8,1.206261333
11,2.885477065,trt2,Corticosterone,9,0.023684344
12,66.94665225,trt2,Corticosterone,9,0.549506209
13,214.5456593,trt2,Corticosterone,9,1.761016689
14,1186.588834,trt2,Corticosterone,9,9.73966449
15,265.7883421,trt2,Corticosterone,9,2.181622819
26,15.83073251,trt2,Corticosterone,9,0.129940565
27,47.93743832,trt2,Corticosterone,9,0.393476285
28,517.0979713,trt2,Corticosterone,9,4.244402614
29,388.6695817,trt2,Corticosterone,9,3.190246878
30,696.4798273,trt2,Corticosterone,9,5.716790557
41,92.9857562,trt2,Corticosterone,9,0.76323832
42,49.62555495,trt2,Corticosterone,9,0.40733255
43,507.4982435,trt2,Corticosterone,9,4.165606889
